ID,agent,choice,outcome,RT,block,group,trialno
103,1,0,0,1777.6,3,1,3
103,1,1,1,717.8,3,1,4
103,1,1,1,381.2,3,1,5
103,1,1,0,819.2,3,1,6
103,1,1,1,786.4,3,1,7
103,1,1,1,865.2,3,1,8
103,1,1,0,737.8,3,1,9
103,1,1,1,673.7,3,1,10
103,1,1,1,850.5,3,1,11
103,1,1,1,428.7,3,1,12
103,1,1,0,311.6,3,1,13
103,1,1,1,749.7,3,1,14
103,1,1,1,452.2,3,1,15
103,1,1,1,446,3,1,16
103,2,0,0,1351.5,3,1,1
103,2,1,1,1670.2,3,1,2
103,2,1,0,812.3,3,1,3
103,2,1,1,1054.3,3,1,4
103,2,0,0,1071.3,3,1,5
